29.53s, 3, red, Exit
29.70s, 4, red, Entry
29.87s, 2, blue, Exit
29.93s, 3, red, Exit
29.97s, 4, blue, Entry
30.00s, 4, red, Entry
30.00s, 2, blue, Exit
30.03s, 3, red, Exit
30.07s, 4, blue, Entry
30.17s, 4, red, Entry
30.20s, 3, red, Exit
30.20s, 2, blue, Exit
30.23s, 4, blue, Entry
30.27s, 4, red, Entry
31.33s, 3, red, Exit
31.37s, 4, red, Entry
31.40s, 3, red, Exit
31.47s, 4, red, Entry
31.57s, 3, red, Exit
31.60s, 4, red, Entry
31.80s, 3, red, Exit
31.83s, 4, red, Entry
32.23s, 2, blue, Exit
32.30s, 4, blue, Entry
32.33s, 2, blue, Exit
32.37s, 4, blue, Entry
32.50s, 2, blue, Exit
32.53s, 4, blue, Entry
32.60s, 2, blue, Exit
32.70s, 4, blue, Entry
32.73s, 2, blue, Exit
32.80s, 4, blue, Entry
33.10s, 2, blue, Exit
33.20s, 3, red, Exit
33.40s, 4, red, Entry
34.17s, 3, red, Exit
34.20s, 4, blue, Entry
34.23s, 4, red, Entry
34.23s, 2, blue, Exit
34.27s, 3, red, Exit
34.47s, 4, red, Entry
34.53s, 4, blue, Entry
34.57s, 2, blue, Exit
34.60s, 3, red, Exit
34.63s, 4, red, Entry
34.67s, 3, red, Exit
34.77s, 4, red, Entry
34.80s, 3, red, Exit
34.80s, 4, blue, Entry
34.83s, 2, blue, Exit
34.87s, 4, red, Entry
34.93s, 4, blue, Entry
35.00s, 3, red, Exit
35.10s, 4, red, Entry
35.13s, 3, red, Exit
35.17s, 4, red, Entry
35.20s, 3, red, Exit
35.27s, 4, red, Entry
35.33s, 3, red, Exit
35.37s, 4, red, Entry
35.40s, 2, blue, Exit
35.43s, 3, red, Exit
35.43s, 4, blue, Entry
35.47s, 4, red, Entry
35.57s, 3, red, Exit
35.73s, 2, blue, Exit
35.80s, 4, red, Entry
35.87s, 3, red, Exit
35.90s, 4, blue, Entry
35.93s, 4, red, Entry
36.00s, 3, red, Exit
36.03s, 4, red, Entry
36.07s, 2, blue, Exit
36.10s, 4, blue, Entry
36.13s, 2, blue, Exit
36.23s, 4, blue, Entry
36.37s, 3, red, Exit
36.43s, 4, red, Entry
36.43s, 2, blue, Exit
36.53s, 4, blue, Entry
36.57s, 3, red, Exit
36.57s, 2, blue, Exit
36.67s, 4, red, Entry
36.70s, 4, blue, Entry
36.73s, 3, red, Exit
36.73s, 2, blue, Exit
36.77s, 4, blue, Entry
36.80s, 4, red, Entry
36.83s, 2, blue, Exit
36.97s, 4, blue, Entry
37.03s, 2, blue, Exit
37.07s, 4, blue, Entry
37.17s, 3, red, Exit
37.20s, 4, red, Entry
37.27s, 2, blue, Exit
37.30s, 3, red, Exit
37.37s, 4, blue, Entry
37.50s, 4, red, Entry
37.53s, 3, red, Exit
37.57s, 2, blue, Exit
37.63s, 4, red, Entry
37.67s, 4, blue, Entry
37.70s, 3, red, Exit
37.73s, 4, red, Entry
37.83s, 3, red, Exit
37.83s, 2, blue, Exit
37.87s, 4, blue, Entry
37.90s, 4, red, Entry
37.90s, 2, blue, Exit
37.93s, 3, red, Exit
37.97s, 4, red, Entry
38.00s, 3, red, Exit
38.00s, 4, blue, Entry
38.07s, 2, blue, Exit
38.10s, 4, red, Entry
38.13s, 3, red, Exit
38.13s, 4, blue, Entry
38.20s, 2, blue, Exit
38.23s, 4, red, Entry
38.27s, 4, blue, Entry
38.30s, 3, red, Exit
38.33s, 4, red, Entry
38.33s, 2, blue, Exit
38.43s, 3, red, Exit
38.47s, 4, blue, Entry
38.50s, 4, red, Entry
38.53s, 2, blue, Exit
38.57s, 3, red, Exit
38.57s, 4, blue, Entry
38.67s, 4, red, Entry
38.70s, 3, red, Exit
38.70s, 2, blue, Exit
38.73s, 4, red, Entry
38.73s, 4, blue, Entry
38.77s, 2, blue, Exit
38.80s, 4, blue, Entry
38.83s, 2, blue, Exit
38.87s, 4, blue, Entry
38.90s, 3, red, Exit
38.90s, 2, blue, Exit
38.97s, 4, red, Entry
38.97s, 4, blue, Entry
39.00s, 3, red, Exit
39.00s, 2, blue, Exit
39.03s, 4, red, Entry
39.03s, 4, blue, Entry
39.10s, 3, red, Exit
39.10s, 2, blue, Exit
39.13s, 4, red, Entry
39.17s, 4, blue, Entry
39.23s, 3, red, Exit
39.27s, 4, red, Entry
39.30s, 3, red, Exit
39.33s, 4, red, Entry
39.33s, 2, blue, Exit
39.40s, 3, red, Exit
39.40s, 4, blue, Entry
39.43s, 4, red, Entry
39.43s, 2, blue, Exit
39.50s, 4, blue, Entry
39.57s, 3, red, Exit
39.60s, 2, blue, Exit
39.63s, 4, blue, Entry
39.67s, 2, blue, Exit
39.70s, 4, blue, Entry
39.77s, 2, blue, Exit
39.80s, 4, blue, Entry
39.87s, 2, blue, Exit
39.90s, 4, blue, Entry
39.93s, 4, red, Entry
39.97s, 2, blue, Exit
40.00s, 3, red, Exit
40.00s, 4, blue, Entry
40.03s, 4, red, Entry
40.07s, 3, red, Exit
40.07s, 2, blue, Exit
40.13s, 4, red, Entry
40.17s, 4, blue, Entry
40.23s, 3, red, Exit
40.27s, 4, red, Entry
